year,semester,course_code,user_code,score,week,user_visit_count_chatroom,user_visit_count_forum,user_visit_count_material,user_visit_sum_chatroom,user_visit_sum_forum,user_visit_sum_material,material_count,material_count_dividedby_count,discussion_create,discussion_like,discussion_read,discussion_create_dividedby_count,discussion_like_dividedby_count,discussion_read_dividedby_count,weblink_count,online_video_total_count,online_video_total_time,online_video_total_time_by_VideoCount,online_video_total_time_by_VideoLength,online_video_real_time,online_video_real_time_by_VideoCount,online_video_real_time_by_VideoLength,online_video_unique_count,online_video_unique_count_by_VideoCount,user_visit_count_exam,user_visit_count_homework,user_visit_count_interaction,user_visit_count_online_video,user_visit_count_page,user_visit_sum_exam,user_visit_sum_homework,user_visit_sum_interaction,user_visit_sum_online_video,user_visit_sum_page,online_video_count_by_day_type_morning,online_video_count_by_day_type_night,online_video_count_by_day_type_noon,online_video_time_by_day_type_morning,online_video_time_by_day_type_night,online_video_time_by_day_type_noon,online_video_count_by_holiday_type_holiday,online_video_count_by_holiday_type_workday,online_video_time_by_holiday_type_holiday,online_video_time_by_holiday_type_workday,user_visit_count_virtual_classroom,user_visit_sum_virtual_classroom,user_visit_count_web_link,user_visit_sum_web_link,weblink_count_dividedby_count,user_visit_count_zoom,user_visit_sum_zoom,group
107,1,8861,B10412003,96.4,4,12.0,163.0,0.0,62.0,6674.0,0.0,0.0,0.0,0.0,0.0,753.0,0.0,0.0,75.3,0.0,2.0,5.0,0.0735294117647058,7.769316198241127e-05,60.0,0.8823529411764706,0.0009323179437889,1.0,0.0147058823529411,9.0,26.0,2.0,11.0,2.0,80.0,2208.0,15.0,184.0,36.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,validation
107,1,8861,B10412010,96.4,4,21.0,123.0,0.0,6406.0,8869.0,0.0,0.0,0.0,0.0,0.0,762.0,0.0,0.0,76.2,0.0,16.0,1266.0,18.61764705882353,0.0196719086139464,660.0,9.705882352941178,0.0102554973816781,8.0,0.1176470588235292,14.0,46.0,5.0,25.0,5.0,86.0,1362.0,851.0,2216.0,271.0,6.0,1.0,9.0,425.0,106.0,735.0,1.0,15.0,106.0,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10412012,97.9,4,0.0,68.0,0.0,0.0,4301.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,43.2,0.0,4.0,275.0,4.044117647058823,0.0042731239090325,240.0,3.5294117647058822,0.0037292717751557,3.0,0.0441176470588234,10.0,9.0,5.0,10.0,0.0,187.0,184.0,1666.0,435.0,0.0,0.0,0.0,4.0,0.0,0.0,275.0,0.0,4.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10412018,76.8,4,0.0,16.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,1.0,2.0,0.0,71.0,1123.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,validation
107,1,8861,B10412054,92.3,4,24.0,232.0,5.0,75.0,5788.0,50.0,3.0,0.2499999999999999,0.0,0.0,771.0,0.0,0.0,77.1,0.0,30.0,1478.0,21.735294117647054,0.0229660986820006,1080.0,15.882352941176473,0.0167817229882007,7.0,0.1029411764705881,40.0,67.0,7.0,18.0,21.0,2300.0,1468.0,1372.0,1205.0,702.0,0.0,0.0,30.0,0.0,0.0,1478.0,2.0,28.0,215.0,1263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,validation
107,1,8861,B10412057,73.5,4,17.0,81.0,6.0,540.0,2507.0,20.0,1.0,0.0833333333333333,1.0,0.0,748.0,0.1,0.0,74.80000000000001,0.0,36.0,5762.0,84.73529411764707,0.0895335998685307,1800.0,26.47058823529412,0.0279695383136679,11.0,0.1617647058823527,35.0,60.0,14.0,72.0,9.0,1151.0,2511.0,217.0,1679.0,533.0,36.0,0.0,0.0,5762.0,0.0,0.0,0.0,36.0,0.0,5762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10412105,79.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10412126,70.8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10412134,78.3,4,1.0,14.0,1.0,3.0,142.0,67.0,1.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10412135,64.9,4,0.0,18.0,0.0,0.0,321.0,0.0,0.0,0.0,3.0,0.0,217.0,0.3,0.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,8.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10412147,68.1,4,0.0,2.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,1.0,1.0,410.0,138.0,0.0,8.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10413023,88.1,4,12.0,246.0,2.0,50.0,11612.0,6.0,1.0,0.0833333333333333,10.0,0.0,633.0,1.0,0.0,63.3,0.0,23.0,1205.0,17.72058823529412,0.018724052037761,780.0,11.47058823529412,0.012120133269256,8.0,0.1176470588235292,23.0,16.0,3.0,16.0,15.0,1962.0,3294.0,1422.0,6569.0,1199.0,18.0,0.0,5.0,712.0,0.0,493.0,16.0,7.0,572.0,633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10413039,62.0,4,0.0,85.0,0.0,0.0,1310.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,validation
